# {"t_start": 1558814329.7096887, "env_id": "Pendulum-v0"} 
r,l,t
-1518.440083,200,104.02368
-241.132336,200,104.385735
-944.328213,200,104.865389
-132.001886,200,105.3226
-130.501205,200,105.687161
-1499.437979,200,106.055382
-1240.108022,200,106.432046
-1455.317106,200,106.795058
-647.189349,200,107.180391
-1229.250558,200,107.55912
-1495.572108,200,107.948932
-1388.068011,200,108.290493
-262.724069,200,108.688965
-122.152048,200,109.026683
-124.231637,200,109.376887
-1403.938774,200,109.727517
-1022.461595,200,110.050771
-912.74695,200,110.373525
-126.519389,200,110.72874
-910.148548,200,111.106828
-118.769207,200,111.481794
-131.243307,200,111.868305
-388.457413,200,112.308466
-1496.611609,200,112.682159
-1423.22424,200,113.067398
-1523.571765,200,113.536141
-1191.05266,200,113.91358
-1170.254354,200,114.368176
-1508.784652,200,114.72562
-0.797077,200,115.115023
-0.181626,200,115.469295
-1096.169854,200,115.828511
-120.284537,200,116.262952
-1248.054546,200,116.599202
-124.484765,200,116.9144
-120.246813,200,117.246653
-120.980032,200,117.704522
-1486.959436,200,118.121596
-1370.560688,200,118.48103
-1488.278932,200,118.853707
-1022.975494,200,119.226591
-1490.98255,200,119.622357
-1037.289547,200,120.073471
-1297.87264,200,120.452094
-1325.739272,200,120.919753
-1261.076,200,121.361324
-901.349645,200,121.77611
-1500.71659,200,122.164122
-1262.726351,200,122.550519
-0.845511,200,122.949647
-5.331642,200,123.341074
-1178.975492,200,123.744155
-120.977408,200,124.306901
-1221.881965,200,124.708011
-1346.553819,200,125.12989
-130.899335,200,125.551089
-1450.977428,200,126.002189
-1390.752338,200,126.437693
-1.522567,200,126.937709
-581.072333,200,127.354471
-1520.935299,200,127.787004
-1376.841283,200,128.21348
-119.560968,200,128.787844
-1495.010349,200,129.299344
-1196.434376,200,129.761613
-122.465646,200,130.189821
-1.637877,200,130.652675
-1332.058131,200,131.138724
-1449.339083,200,131.605991
-1311.756664,200,132.032246
-1493.673564,200,132.475136
-127.981311,200,132.918266
-1036.26085,200,133.421433
-2.253811,200,133.839374
-1026.454175,200,134.243433
-114.292525,200,134.663111
-1042.87772,200,135.108164
-2.735062,200,135.539223
-1206.132628,200,135.99276
-495.550695,200,136.436168
-1.454714,200,136.875441
-1494.916503,200,137.336848
-1312.087808,200,137.925238
-1497.121944,200,138.422682
-1493.332246,200,138.84057
-1410.640376,200,139.289446
-1247.154144,200,139.704691
-912.194865,200,140.096407
-1495.885178,200,140.510962
-725.809355,200,140.917357
-1081.0177,200,141.303361
-0.708037,200,141.649491
-1320.473487,200,142.088985
-1251.193742,200,142.482574
-1428.749729,200,142.874148
-129.303017,200,143.262141
-1221.009039,200,143.679305
-115.034055,200,144.069851
-1452.920998,200,144.405767
-1384.185127,200,144.741714
-1500.222059,200,145.076848
-955.001858,200,145.411185
-120.914834,200,145.854842
-133.341626,200,146.190183
-1466.643746,200,146.524789
-1375.90997,200,146.866812
-127.784527,200,147.213517
-1389.927173,200,147.557225
-1059.801619,200,147.947012
-0.293591,200,148.352855
-121.571624,200,148.707822
-1334.460334,200,149.048024
-1423.46213,200,149.51803
-1054.42222,200,149.905975
-1431.612183,200,150.276854
-114.422658,200,150.662858
-1496.086954,200,151.076952
-1339.405002,200,151.491293
-127.67298,200,151.866303
-1302.952698,200,152.267285
-1409.700452,200,152.671324
-1.752135,200,153.120031
-125.205296,200,153.650969
-1498.316045,200,154.038812
-127.483826,200,154.403665
-1188.87948,200,154.783793
-948.109058,200,155.156981
-4.26576,200,155.540365
-1296.537419,200,155.928126
-1245.262096,200,156.279613
-129.013068,200,156.654484
-1264.079676,200,157.060163
-117.360035,200,157.561814
-1514.215058,200,157.897561
-1505.294361,200,158.271633
-4.919671,200,158.726188
-1405.5707,200,159.170704
-1520.15347,200,159.545644
-1499.729151,200,159.945249
-1048.39929,200,160.341398
-1501.831937,200,160.719068
-1069.47798,200,161.130575
-1173.217721,200,161.589848
-1017.483397,200,161.941275
-239.425202,200,162.297647
-116.878413,200,162.643938
-120.791797,200,162.992743
-120.360296,200,163.371243
-839.99945,200,163.763288
-1131.812546,200,164.189842
-120.286079,200,164.573837
-121.190755,200,164.943978
-1495.673012,200,165.440315
-1497.657087,200,165.850733
-4.387808,200,166.188367
-773.608636,200,166.533479
-1493.069582,200,166.883003
-120.179186,200,167.253317
-1376.638184,200,167.612009
-119.378946,200,167.983373
-1105.335951,200,168.386251
-1447.61733,200,168.758705
-1179.403314,200,169.226327
-1498.338179,200,169.57244
-126.519869,200,169.91064
-1.687395,200,170.241483
-1231.064251,200,170.586494
-1495.690646,200,170.990805
-773.657249,200,171.379352
-1.119591,200,171.738047
-128.39819,200,172.137982
-126.100869,200,172.48648
-944.333014,200,172.968493
-1400.866707,200,173.360095
-1330.956058,200,173.739632
-874.669293,200,174.184657
-1064.250666,200,174.568785
-123.970418,200,174.948562
-1.331725,200,175.359091
-706.720998,200,175.79886
-1336.398342,200,176.239822
-943.92374,200,176.698527
-1.132073,200,177.241751
-1081.429592,200,177.621809
-6.140258,200,178.02001
-1168.170535,200,178.384724
-1100.568981,200,178.746037
-961.507161,200,179.146284
-5.189593,200,179.580591
-128.621114,200,179.995416
-1348.321374,200,180.383388
-1188.661093,200,180.773828
-238.393064,200,181.350582
-961.977256,200,181.748146
-1485.644293,200,182.215429
-894.815689,200,182.683082
-3.845315,200,183.11102
-1.900503,200,183.450014
-948.28654,200,183.804073
-122.740692,200,184.288247
-1234.948455,200,184.744832
-5.805973,200,185.14199
-130.470234,200,185.655987
-1442.519987,200,186.024984
-125.181324,200,186.36039
-1186.348897,200,186.69173
-1286.571625,200,187.084475
-122.142639,200,187.495852
-943.592883,200,188.073255
-126.565206,200,188.648516
-0.111925,200,189.239044
-1281.941051,200,189.727077
-1495.86822,200,190.228132
-123.593901,200,190.592912
-1174.07553,200,190.921289
-120.89604,200,191.282596
-1239.649451,200,191.709078
-120.778023,200,192.203198
-3.683374,200,192.600698
-1322.051205,200,192.987446
-1061.326483,200,193.349557
-945.785581,200,193.748426
-1113.006671,200,194.238798
-1418.260974,200,194.590716
-1494.026206,200,194.954375
-1509.277606,200,195.345233
-1491.561658,200,195.686294
-1.024405,200,196.007667
-6.387477,200,196.373895
-899.494935,200,196.779034
-1317.517704,200,197.253456
-121.812774,200,197.754436
-125.539746,200,198.258467
-1071.925238,200,198.621902
-1183.733844,200,199.00048
-118.073249,200,199.358045
-127.32533,200,199.801088
-117.555765,200,200.190408
-954.257543,200,200.594376
-126.245798,200,201.004294
-1399.383563,200,201.393274
-118.545,200,201.866726
